Respondenten_ID;Frage;Antwort
R-0001;Q1_Markenbekanntheit;4
R-0001;Q2_Weiterempfehlung;5
R-0001;Q3_Preis_Fair;3
R-0001;Q4_Nachhaltig;4
R-0001;Q5_Zufrieden;5
R-0002;Q1_Markenbekanntheit;5
R-0002;Q2_Weiterempfehlung;4
R-0002;Q3_Preis_Fair;2
R-0002;Q4_Nachhaltig;5
R-0002;Q5_Zufrieden;4
R-0003;Q1_Markenbekanntheit;3
R-0003;Q2_Weiterempfehlung;3
R-0003;Q3_Preis_Fair;4
R-0003;Q4_Nachhaltig;3
R-0003;Q5_Zufrieden;3
R-0004;Q1_Markenbekanntheit;2
R-0004;Q2_Weiterempfehlung;2
R-0004;Q3_Preis_Fair;3
R-0004;Q4_Nachhaltig;2
R-0004;Q5_Zufrieden;3
R-0005;Q1_Markenbekanntheit;5
R-0005;Q2_Weiterempfehlung;5
R-0005;Q3_Preis_Fair;4
R-0005;Q4_Nachhaltig;5
R-0005;Q5_Zufrieden;5
R-0006;Q1_Markenbekanntheit;4
R-0006;Q2_Weiterempfehlung;4
R-0006;Q3_Preis_Fair;3
R-0006;Q4_Nachhaltig;4
R-0006;Q5_Zufrieden;4
R-0007;Q1_Markenbekanntheit;3
R-0007;Q2_Weiterempfehlung;3
R-0007;Q3_Preis_Fair;3
R-0007;Q4_Nachhaltig;3
R-0007;Q5_Zufrieden;2
R-0008;Q1_Markenbekanntheit;4
R-0008;Q2_Weiterempfehlung;4
R-0008;Q3_Preis_Fair;4
R-0008;Q4_Nachhaltig;5
R-0008;Q5_Zufrieden;4
R-0009;Q1_Markenbekanntheit;5
R-0009;Q2_Weiterempfehlung;5
R-0009;Q3_Preis_Fair;2
R-0009;Q4_Nachhaltig;4
R-0009;Q5_Zufrieden;5
R-0010;Q1_Markenbekanntheit;3
R-0010;Q2_Weiterempfehlung;2
R-0010;Q3_Preis_Fair;3
R-0010;Q4_Nachhaltig;3
R-0010;Q5_Zufrieden;3
R-0011;Q1_Markenbekanntheit;5
R-0011;Q2_Weiterempfehlung;5
R-0011;Q3_Preis_Fair;3
R-0011;Q4_Nachhaltig;5
R-0011;Q5_Zufrieden;5
R-0012;Q1_Markenbekanntheit;2
R-0012;Q2_Weiterempfehlung;2
R-0012;Q3_Preis_Fair;4
R-0012;Q4_Nachhaltig;2
R-0012;Q5_Zufrieden;3
R-0013;Q1_Markenbekanntheit;4
R-0013;Q2_Weiterempfehlung;4
R-0013;Q3_Preis_Fair;4
R-0013;Q4_Nachhaltig;4
R-0013;Q5_Zufrieden;4
R-0014;Q1_Markenbekanntheit;5
R-0014;Q2_Weiterempfehlung;4
R-0014;Q3_Preis_Fair;2
R-0014;Q4_Nachhaltig;5
R-0014;Q5_Zufrieden;4
R-0015;Q1_Markenbekanntheit;3
R-0015;Q2_Weiterempfehlung;3
R-0015;Q3_Preis_Fair;3
R-0015;Q4_Nachhaltig;3
R-0015;Q5_Zufrieden;3
R-0016;Q1_Markenbekanntheit;4
R-0016;Q2_Weiterempfehlung;5
R-0016;Q3_Preis_Fair;3
R-0016;Q4_Nachhaltig;4
R-0016;Q5_Zufrieden;5
R-0017;Q1_Markenbekanntheit;2
R-0017;Q2_Weiterempfehlung;2
R-0017;Q3_Preis_Fair;3
R-0017;Q4_Nachhaltig;2
R-0017;Q5_Zufrieden;2
R-0018;Q1_Markenbekanntheit;5
R-0018;Q2_Weiterempfehlung;5
R-0018;Q3_Preis_Fair;4
R-0018;Q4_Nachhaltig;5
R-0018;Q5_Zufrieden;5
R-0019;Q1_Markenbekanntheit;4
R-0019;Q2_Weiterempfehlung;3
