Respondenten_ID;Alter_Bucket;Region;Q1_Markenbekanntheit;Q2_Weiterempfehlung;Q3_Preis_Fair;Q4_Nachhaltig;Q5_Zufrieden;Offene_Antwort
R-0001;18-24;Nord;4;5;3;4;5;Coole Marke, sehe die Werbung oft auf Instagram
R-0002;25-34;Sued;5;4;2;5;4;Preis ist mir zu hoch fuer ein Abo
R-0003;35-44;West;3;3;4;3;3;Kenne ich vom Namen, nutze es aber nicht
R-0004;45-54;Ost;2;2;3;2;3;Habe noch nie davon gehoert bis zur Umfrage
R-0005;25-34;Nord;5;5;4;5;5;Nutze das taeglich fuer den Arbeitsweg, top
R-0006;18-24;West;4;4;3;4;4;
R-0007;55-64;Sued;3;3;3;3;2;Fuer meine Generation eher nichts
R-0008;35-44;Nord;4;4;4;5;4;Gutes Gewissen weil regional, das gefaellt mir
R-0009;25-34;Ost;5;5;2;4;5;Super Service, nur die App haengt manchmal
R-0010;45-54;West;3;2;3;3;3;Werbung ist nett aber ueberzeugt mich nicht
R-0011;18-24;Sued;5;5;3;5;5;Meine Freunde nutzen das alle
R-0012;65+;Nord;2;2;4;2;3;Zu kompliziert mit dem Handy
R-0013;35-44;West;4;4;4;4;4;Solide, wuerde ich weiterempfehlen
R-0014;25-34;Sued;5;4;2;5;4;Nachhaltigkeit ist top, Preis grenzwertig
R-0015;45-54;Nord;3;3;3;3;3;Neutral, kein starkes Gefuehl dazu
R-0016;18-24;Ost;4;5;3;4;5;Sehe die Kampagne staendig auf TikTok
R-0017;55-64;West;2;2;3;2;2;Nicht meine Zielgruppe glaube ich
R-0018;25-34;Nord;5;5;4;5;5;Bestes Preis-Leistungs-Verhaeltnis fuer mich
R-0019;35-44;Sued;4;3;3;4;3;Ganz ok, aber Auswahl koennte groesser sein
R-0020;18-24;West;5;5;3;5;4;Instagram-Werbung hat mich ueberzeugt
R-0021;45-54;Ost;3;3;4;3;4;Fair und zuverlaessig, keine Klagen
R-0022;25-34;Nord;4;4;2;4;3;Zu teuer geworden im letzten Jahr
R-0023;65+;Sued;2;1;3;2;2;Verstehe das Konzept ehrlich gesagt nicht
R-0024;35-44;West;5;5;4;5;5;Wir nutzen es als ganze Familie
R-0025;18-24;Nord;4;4;3;4;4;
R-0026;55-64;Ost;3;3;3;3;3;Habe es einmal probiert, war ok
R-0027;25-34;Sued;5;5;3;5;5;Klarer Favorit, weiter so
R-0028;45-54;West;3;2;4;3;3;Preis passt, Marke sagt mir wenig
R-0029;18-24;Ost;5;5;2;5;4;Liebe die Idee, Abo ist mir zu teuer
R-0030;35-44;Nord;4;4;4;4;4;Guter Kompromiss aus Preis und Qualitaet
R-0031;25-34;West;5;4;3;5;5;Empfehle ich im Kollegenkreis regelmaessig
R-0032;65+;Sued;2;2;3;1;2;Nichts fuer aeltere Menschen wie mich
