Kampagne;Marke;Kanal;Impressions;Klicks;CTR;Conversions;Spend_EUR;CPA_EUR
Fruehjahr Bio Awareness;Gruenwerk;Meta Ads;1284500;19640;1,53%;412;8900;21,60
Fruehjahr Bio Awareness;Gruenwerk;Google Ads Search;146200;11380;7,78%;689;7420;10,77
Fruehjahr Bio Awareness;Gruenwerk;YouTube;982300;7410;0,75%;95;5600;58,95
Fruehjahr Bio Awareness;Gruenwerk;Display Retargeting;2140600;9630;0,45%;301;3120;10,37
Pendler Herbst;VELOMO;Meta Ads;1876400;33720;1,80%;884;12400;14,03
Pendler Herbst;VELOMO;Google Ads Search;98700;9840;9,97%;742;9860;13,29
Pendler Herbst;VELOMO;TikTok;3421900;41260;1,21%;356;8700;24,44
Pendler Herbst;VELOMO;Newsletter;54300;6210;11,44%;198;780;3,94
Pendler Herbst;VELOMO;OOH Digital;1450000;0;0,00%;61;15200;249,18
Echte Pause Sommer;Quellgold;Meta Ads;2318700;28140;1,21%;503;11300;22,47
Echte Pause Sommer;Quellgold;YouTube;1642800;12310;0,75%;144;9400;65,28
Echte Pause Sommer;Quellgold;TikTok;4102500;58730;1,43%;612;10800;17,65
Echte Pause Sommer;Quellgold;Display Retargeting;1893400;7620;0,40%;188;2740;14,57
Echte Pause Sommer;Quellgold;Radio Spot;890000;0;0,00%;0;6500;0,00
Regionalitaet Always-on;Kornwerk;Meta Ads;742100;10380;1,40%;221;4300;19,46
Regionalitaet Always-on;Kornwerk;Google Ads Search;61400;5120;8,34%;389;3980;10,23
Regionalitaet Always-on;Kornwerk;LinkedIn;218900;3140;1,43%;74;2610;35,27
Regionalitaet Always-on;Kornwerk;Newsletter;41800;4890;11,70%;167;540;3,23
Regionalitaet Always-on;Kornwerk;Pinterest;334200;4010;1,20%;58;1120;19,31
Grill Aktion Q3;Gruenwerk;Meta Ads;968400;14210;1,47%;338;6100;18,05
Grill Aktion Q3;Gruenwerk;Google Ads Shopping;127600;9870;7,74%;521;5840;11,21
Winter Abo Push;VELOMO;Meta Ads;1104300;18960;1,72%;447;7900;17,67
Winter Abo Push;VELOMO;Google Ads Search;76200;7640;10,03%;588;6720;11,43
